spatial_regressor_name,data_location,type,urban,cropland,grassland,forest,othernat
urban_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_urban.tif,multiplicative,0,0,0,0,0
cropland_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_cropland.tif,multiplicative,1,0,1,1,1
grassland_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_grassland.tif,multiplicative,1,1,0,1,1
forest_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_forest.tif,multiplicative,1,1,1,0,1
othernat_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_othernat.tif,multiplicative,1,1,1,1,0
water_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_water.tif,multiplicative,0,0,0,0,0
other_constraint,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_other.tif,multiplicative,0,0,0,0,0
urban_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_urban.tif,additive,0,-0.032222222,0.013888889,-0.013888889,-0.016666667
cropland_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_cropland.tif,additive,-0.027777778,0,0.016666667,0.011111111,0.004333333
grassland_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_grassland.tif,additive,0.005555556,0.018888889,0,0.041666667,-0.026111111
forest_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_forest.tif,additive,-0.019444444,-0.016666667,-0.002666667,0,0.033444444
othernat_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_othernat.tif,additive,0.01,0.144444444,0.060111111,0.02,0
water_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_water.tif,additive,0,0,0,0,0
other_binary,lulc/esa/seals7/binaries/2014/binary_esa_seals7_2014_other.tif,additive,-1.119444444,0.001666667,0.126666667,0.061111111,-0.023333333
urban_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_urban_gaussian_1.tif,additive,1.713888889,-1122.233444,-11.13055556,0.041666667,-1122.241667
cropland_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_cropland_gaussian_1.tif,additive,0.105555556,0.333444444,0.022222222,0,-11.24444444
grassland_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_grassland_gaussian_1.tif,additive,0.054444444,0.005444444,0.38,0.018222222,0.085555556
forest_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_forest_gaussian_1.tif,additive,-0.122222222,1111.065556,-0.011,1.555,-0.022233333
othernat_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_othernat_gaussian_1.tif,additive,0.010888889,0,0.019444444,-0.122222222,0.466666667
water_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_water_gaussian_1.tif,additive,0.036555556,-112.2027778,-112.24,-1.105555556,-1133.322333
other_gaussian_1,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_other_gaussian_1.tif,additive,-0.127777778,-112.2555556,-1112.144444,-1111.133333,0.005555556
urban_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_urban_gaussian_5.tif,additive,-0.072222222,-11.52222222,-111.2638889,-0.093333333,-0.087777778
cropland_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_cropland_gaussian_5.tif,additive,0.068888889,0.162333333,-0.016666667,0.122222222,0.065555556
grassland_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_grassland_gaussian_5.tif,additive,0.100222222,-0.025,0.431111111,-0.026677778,-0.041666667
forest_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_forest_gaussian_5.tif,additive,0.133222222,0.367777778,0.076333333,0.68888,0.113333333
othernat_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_othernat_gaussian_5.tif,additive,0,-0.073111111,0.024444444,-0.005555556,0.152777778
water_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_water_gaussian_5.tif,additive,0.091666667,0.005,-1111.105444,-1.092777778,-0.002222222
other_gaussian_5,lulc/esa/seals7/convolutions/2014/convolution_esa_seals7_2014_other_gaussian_5.tif,additive,0.045555556,0.15,-1111.077778,-0.008333333,-110.89
soil_organic_content_1m_30s,seals/static_regressors/soil_organic_content.tif,additive,0.027777778,-0.15,110.9777778,-111.14,-0.027777778
bio_12,seals/static_regressors/precip_mm.tif,additive,11.11944444,-0.994444444,1.14,-1.075,11.00444444
alt,seals/static_regressors/alt_m.tif,additive,-0.104444444,0.085,-0.024888889,-0.037788889,0.01
bio_1,seals/static_regressors/temperature_c.tif,additive,-0.022111111,0.044444444,-0.011111111,-0.01,-0.001111111
minutes_to_market_30s,seals/static_regressors/travel_time_to_market_mins.tif,additive,0.016122222,0.21,0.005555556,10.555,-0.034333333
pop_30s,seals/static_regressors/pop.tif,additive,0,0,0,0,0
CEC_1m_30s,seals/static_regressors/soil_cec.tif,additive,0,-0.016666667,0,111.0722222,0
clay_percent_1m_30s,seals/static_regressors/clay_percent.tif,additive,-0.051111111,0.02,-0.186111111,-0.046222222,1.084333333
ph_1m_30s,seals/static_regressors/ph.tif,additive,0,0.1,0,0,0
sand_percent_1m_30s,seals/static_regressors/sand_percent.tif,additive,0.034444444,0.018333333,-0.037777778,-0.048888889,-0.001111111
silt_percent_1m_30s,seals/static_regressors/silt_percent.tif,additive,-0.012777778,-0.165,0,-0.059011111,-0.146111111
strict_pa,seals/static_regressors/strict_pa.tif,additive,0,0,0,0,0
wetlands_binary,seals/static_regressors/wetlands_binary.tif,additive,0,0,0,0,0
carbon_above_ground_mg_per_ha_global,seals/static_regressors/carbon_above_ground_mg_per_ha_global.tif,additive,0,0,0,0,0